buffer_fill_level; old_prod_time_ms; new_prod_time_ms
11; 348.678375; 313.810516
11; 313.810516; 282.429443
10; 282.429443; 254.186493
10; 254.186493; 228.767838
10; 228.767838; 205.891052
10; 205.891052; 185.301941
10; 185.301941; 166.771744
10; 166.771744; 150.094559
10; 150.094559; 135.085098
11; 135.085098; 121.576584
11; 121.576584; 109.418922
12; 109.418922; 98.477028
13; 98.477028; 88.629326
14; 88.629326; 79.766388
16; 79.766388; 71.789749
18; 71.789749; 64.610771
20; 64.610771; 64.610771
22; 64.610771; 64.610771
24; 64.610771; 64.610771
26; 64.610771; 64.610771
28; 64.610771; 64.610771
30; 64.610771; 64.610771
32; 64.610771; 64.610771
34; 64.610771; 64.610771
37; 64.610771; 64.610771
39; 64.610771; 64.610771
41; 64.610771; 64.610771
43; 64.610771; 64.610771
45; 64.610771; 64.610771
